节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）,计算Z的坐标（米）,差距（米）
C430,29.7247,-246.5540,-169.0189,-189.7131,20.6942
D407,-29.7247,-246.5540,-169.0189,-189.7131,20.6942
C407,225.3020,-104.4590,-169.0189,-189.7127,20.6938
D430,-225.3020,-104.4590,-169.0189,-189.7127,20.6938
B430,243.6729,-47.9190,-169.0189,-189.7126,20.6937
E407,-243.6729,-47.9190,-169.0189,-189.7126,20.6937
A407,-120.8735,216.9390,-169.0189,-189.7122,20.6933
A430,120.8735,216.9390,-169.0189,-189.7122,20.6933
B407,168.9690,181.9960,-169.0189,-189.7120,20.6931
E430,-168.9690,181.9960,-169.0189,-189.7120,20.6931
C432,199.1177,-147.6610,-169.6718,-190.1080,20.4362
D446,-199.1177,-147.6610,-169.6718,-190.1080,20.4362
B446,247.8826,2.4220,-169.6718,-190.1079,20.4361
E432,-247.8826,2.4220,-169.6718,-190.1079,20.4361
C446,78.9032,-235.0020,-169.6718,-190.1079,20.4361
D432,-78.9032,-235.0020,-169.6718,-190.1079,20.4361
A432,-74.2966,236.4990,-169.6718,-190.1077,20.4359
A446,74.2966,236.4990,-169.6718,-190.1077,20.4359
B432,201.9648,143.7430,-169.6718,-190.1076,20.4358
E446,-201.9648,143.7430,-169.6718,-190.1076,20.4358
C379,235.4664,-76.5070,-170.1243,-190.3831,20.2588
E379,-235.4664,-76.5070,-170.1243,-190.3831,20.2588
D379,0.0000,-247.5840,-170.1243,-190.3830,20.2587
B379,145.5263,200.3000,-170.1243,-190.3827,20.2584
A379,-145.5263,200.3000,-170.1243,-190.3827,20.2584
C445,88.2992,-230.6920,-170.9512,-190.8878,19.9366
D433,-88.2992,-230.6920,-170.9512,-190.8878,19.9366
C433,192.1158,-155.2650,-170.9512,-190.8875,19.9363
D445,-192.1158,-155.2650,-170.9512,-190.8875,19.9363
B445,246.6877,12.6900,-170.9512,-190.8872,19.9360
E433,-246.6877,12.6900,-170.9512,-190.8872,19.9360
B433,207.0333,134.7340,-170.9512,-190.8869,19.9357
E445,-207.0333,134.7340,-170.9512,-190.8869,19.9357
A433,-64.1622,238.5360,-170.9512,-190.8866,19.9354
A445,64.1622,238.5360,-170.9512,-190.8866,19.9354
C429,39.5874,-243.6860,-171.1434,-191.0050,19.8616
D408,-39.5874,-243.6860,-171.1434,-191.0050,19.8616
B429,243.9925,-37.6530,-171.1434,-191.0048,19.8614
E408,-243.9925,-37.6530,-171.1434,-191.0048,19.8614
C408,219.5261,-112.9530,-171.1434,-191.0048,19.8614
D429,-219.5261,-112.9530,-171.1434,-191.0048,19.8614
B408,175.2620,173.8780,-171.1434,-191.0044,19.8610
E429,-175.2620,173.8780,-171.1434,-191.0044,19.8610
A408,-111.2083,220.4160,-171.1434,-191.0041,19.8607
A429,111.2083,220.4160,-171.1434,-191.0041,19.8607
C434,184.8829,-162.6830,-172.0251,-191.5461,19.5210
D444,-184.8829,-162.6830,-172.0251,-191.5461,19.5210
C444,97.5890,-226.1060,-172.0251,-191.5459,19.5208
D434,-97.5890,-226.1060,-172.0251,-191.5459,19.5208
A434,-53.9506,240.2850,-172.0251,-191.5459,19.5208
A444,53.9506,240.2850,-172.0251,-191.5459,19.5208
B444,245.1963,22.9420,-172.0251,-191.5458,19.5207
E434,-245.1963,22.9420,-172.0251,-191.5458,19.5207
B434,211.8529,125.5630,-172.0251,-191.5456,19.5205
E444,-211.8529,125.5630,-172.0251,-191.5456,19.5205
C406,9.9175,-245.5120,-172.8163,-192.0342,19.2179
D380,-9.9175,-245.5120,-172.8163,-192.0342,19.2179
C380,230.4315,-85.2990,-172.8163,-192.0340,19.2177
D406,-230.4315,-85.2990,-172.8163,-192.0340,19.2177
B406,236.5608,-66.4350,-172.8163,-192.0339,19.2176
E380,-236.5608,-66.4350,-172.8163,-192.0339,19.2176
A380,-136.2851,204.4530,-172.8163,-192.0339,19.2176
A406,136.2851,204.4530,-172.8163,-192.0339,19.2176
B380,152.3320,192.7950,-172.8163,-192.0334,19.2171
E406,-152.3320,192.7950,-172.8163,-192.0334,19.2171
C435,177.3398,-169.9410,-172.9469,-192.1149,19.1680
D443,-177.3398,-169.9410,-172.9469,-192.1149,19.1680
B443,243.3600,33.2480,-172.9469,-192.1146,19.1677
E435,-243.3600,33.2480,-172.9469,-192.1146,19.1677
C443,106.8230,-221.1750,-172.9469,-192.1146,19.1677
D435,-106.8230,-221.1750,-172.9469,-192.1146,19.1677
B435,216.4250,116.1460,-172.9469,-192.1143,19.1674
E443,-216.4250,116.1460,-172.9469,-192.1143,19.1674
A435,-43.5818,241.7240,-172.9469,-192.1140,19.1671
A443,43.5818,241.7240,-172.9469,-192.1140,19.1671
C409,213.4953,-121.2220,-173.1041,-192.2121,19.1080
D428,-213.4953,-121.2220,-173.1041,-192.2121,19.1080
B428,243.9742,-27.4180,-173.1041,-192.2118,19.1077
E409,-243.9742,-27.4180,-173.1041,-192.2118,19.1077
C428,49.3159,-240.5060,-173.1041,-192.2117,19.1076
D409,-49.3159,-240.5060,-173.1041,-192.2117,19.1076
A409,-101.4685,223.5610,-173.1041,-192.2114,19.1073
A428,101.4685,223.5610,-173.1041,-192.2114,19.1073
B409,181.2632,165.5870,-173.1041,-192.2114,19.1073
E428,-181.2632,165.5870,-173.1041,-192.2114,19.1073
C436,169.5797,-176.9910,-173.6572,-192.5553,18.8981
D442,-169.5797,-176.9910,-173.6572,-192.5553,18.8981
C442,115.9262,-215.9730,-173.6572,-192.5550,18.8978
D436,-115.9262,-215.9730,-173.6572,-192.5550,18.8978
B442,241.2260,43.5130,-173.6572,-192.5548,18.8976
E436,-241.2260,43.5130,-173.6572,-192.5548,18.8976
A436,-33.1597,242.8660,-173.6572,-192.5546,18.8974
A442,33.1597,242.8660,-173.6572,-192.5546,18.8974
B436,220.7322,106.5870,-173.6572,-192.5546,18.8974
E442,-220.7322,106.5870,-173.6572,-192.5546,18.8974
C441,124.7966,-210.5380,-174.1821,-192.8819,18.6998
D437,-124.7966,-210.5380,-174.1821,-192.8819,18.6998
C437,161.6700,-183.7480,-174.1821,-192.8818,18.6997
D441,-161.6700,-183.7480,-174.1821,-192.8818,18.6997
A437,-22.7890,243.6830,-174.1821,-192.8814,18.6993
A441,22.7890,243.6830,-174.1821,-192.8814,18.6993
B437,224.7142,96.9760,-174.1821,-192.8812,18.6991
E441,-224.7142,96.9760,-174.1821,-192.8812,18.6991
B441,238.7986,53.6290,-174.1821,-192.8812,18.6991
E437,-238.7986,53.6290,-174.1821,-192.8812,18.6991
C438,153.5660,-190.2840,-174.4976,-193.0785,18.5809
D440,-153.5660,-190.2840,-174.4976,-193.0785,18.5809
C440,133.5169,-204.8510,-174.4976,-193.0782,18.5806
D438,-133.5169,-204.8510,-174.4976,-193.0782,18.5806
